"mode","component","quantity","role","review_status","evidence"
"charging","inverter","vdc","regulator","NOT_REVIEWED",""
"charging","inverter","iac","unspecified","NOT_REVIEWED",""
"charging","cllc","ibat","unspecified","NOT_REVIEWED",""
"v2g","inverter","vdc","regulator","NOT_REVIEWED",""
"v2g","inverter","iac","unspecified","NOT_REVIEWED",""
"v2g","inverter","q","unspecified","NOT_REVIEWED",""
"v2g","cllc","ibat","unspecified","NOT_REVIEWED",""
"v2g","cllc","p","unspecified","NOT_REVIEWED",""
"v2l","inverter","vac","regulator","NOT_REVIEWED",""
"v2l","inverter","iac","unspecified","NOT_REVIEWED",""
"v2l","cllc","vdc","regulator","NOT_REVIEWED",""
"v2l","cllc","ibat","unspecified","NOT_REVIEWED",""
"v2v","inverter","vac","regulator","NOT_REVIEWED",""
"v2v","inverter","iac","unspecified","NOT_REVIEWED",""
"v2v","cllc","vdc","regulator","NOT_REVIEWED",""
"v2v","cllc","ibat","unspecified","NOT_REVIEWED",""
"v2h","inverter","vac","regulator","NOT_REVIEWED",""
"v2h","inverter","iac","unspecified","NOT_REVIEWED",""
"v2h","cllc","vdc","regulator","NOT_REVIEWED",""
"v2h","cllc","ibat","unspecified","NOT_REVIEWED",""
