"mode","stage","quantity","role","review_status","evidence"
"Charging","Inverter","vdc","regulator","NOT_REVIEWED",""
"Charging","Inverter","iac","unspecified","NOT_REVIEWED",""
"Charging","CLLC converter","ibat","unspecified","NOT_REVIEWED",""
"V2G-AC","Inverter","vdc","regulator","NOT_REVIEWED",""
"V2G-AC","Inverter","iac","unspecified","NOT_REVIEWED",""
"V2G-AC","Inverter","q","unspecified","NOT_REVIEWED",""
"V2G-AC","CLLC converter","ibat","unspecified","NOT_REVIEWED",""
"V2G-AC","CLLC converter","p","unspecified","NOT_REVIEWED",""
"V2L","Inverter","vac","regulator","NOT_REVIEWED",""
"V2L","Inverter","iac","unspecified","NOT_REVIEWED",""
"V2L","CLLC converter","vdc","regulator","NOT_REVIEWED",""
"V2L","CLLC converter","ibat","unspecified","NOT_REVIEWED",""
"V2V","Inverter","vac","regulator","NOT_REVIEWED",""
"V2V","Inverter","iac","unspecified","NOT_REVIEWED",""
"V2V","CLLC converter","vdc","regulator","NOT_REVIEWED",""
"V2V","CLLC converter","ibat","unspecified","NOT_REVIEWED",""
"V2H-AC","Inverter","vac","regulator","NOT_REVIEWED",""
"V2H-AC","Inverter","iac","unspecified","NOT_REVIEWED",""
"V2H-AC","CLLC converter","vdc","regulator","NOT_REVIEWED",""
"V2H-AC","CLLC converter","ibat","unspecified","NOT_REVIEWED",""
